Iso_Idxs,Value,Unc,RefRemarks,Refs,Term,Include,Table
"080199,080204",0.29856908473338384,0.02923867872273928,Le78,['Le78'],R080204-R080199,nan,kalpha
"080200,080201",0.01362216213615077,0.022322847344137402,Le78,['Le78'],R080201-R080200,nan,kalpha
"080200,080202",0.10488769869136871,0.008963263726564067,Le78,['Le78'],R080202-R080200,nan,kalpha
"080200,080204",0.21343132967467832,0.021894581867146257,Le78,['Le78'],R080204-R080200,nan,kalpha
"080200,080204",0.1766906473333985,0.026679584962229254,Ch68,['Ch68'],R080204-R080200,nan,kalpha
"080201,080202",0.09312566468458809,0.02185382841383194,Le78,['Le78'],R080202-R080201,nan,kalpha
"080201,080204",0.20189632582016212,0.026530932226982072,Le78,['Le78'],R080204-R080201,nan,kalpha
"080202,080204",0.10927224469595213,0.031990719398284705,Le78,['Le78'],R080204-R080202,nan,kalpha
"082204,082206",0.11753994868767859,0.023267231937719755,Le73,['Le73'],R082206-R082204,nan,kalpha
"082204,082206",0.1090056129813492,0.012339139819611279,Bo83,['Bo83'],R082206-R082204,nan,kalpha
"082204,082208",0.22657735571636542,0.025640176577538597,Le73,['Le73'],R082208-R082204,nan,kalpha
"082204,082208",0.24369583469483788,0.010599869704657663,Bo83,['Bo83'],R082208-R082204,nan,kalpha
"082206,082207",0.028790118628845035,0.012006006131181832,Le73,['Le73'],R082207-R082206,nan,kalpha
"082206,082207",0.045444370233638655,0.00865190551236633,Bo83,['Bo83'],R082207-R082206,nan,kalpha
"082206,082208",0.10904546630861699,0.011141227623115518,"Ch68, Le73","['Ch68', 'Le73']",R082208-R082206,nan,kalpha
"082206,082208",0.13479713846293806,0.008835931302499054,Bo83,['Bo83'],R082208-R082206,nan,kalpha
"082207,082208",0.08110186975007906,0.015715884964804024,Le73,['Le73'],R082208-R082207,nan,kalpha
"082207,082208",0.08992030754363609,0.008994607824430621,Bo83,['Bo83'],R082208-R082207,nan,kalpha
"092233,092238",0.4406658696056001,0.051018495126416694,Br65,['Br65'],R092238-R092233,nan,kalpha
"092233,092238",0.432,0.043,El96,['El96'],R092238-R092233,nan,kalpha
"092235,092238",0.25,0.032,El98,['El98'],R092238-R092235,nan,kalpha
"002003,002004",-1.059,0.003,Mu07nan,,R002004**2-R002003**2,nan,ois
"002004,002006",1.466,0.034,See alsonan,,R002006**2-R002004**2,nan,ois
"002004,002008",0.911,0.095,"Ma94, Sh95, Wa04nan",,R002008**2-R002004**2,nan,ois
"003006,003007",-0.47,0.05,Bu03nan,,R003007**2-R003006**2,nan,ois
"003006,003007",-0.84,0.08,Wa03From Bu03,,R003007**2-R003006**2,nan,ois
"003006,003007",-0.38,0.07,Sc96From Bu03,,R003007**2-R003006**2,nan,ois
"003006,003007",-0.29,0.25,Sa95From Bu03,,R003007**2-R003006**2,nan,ois
"003006,003007",-0.39,0.04,Bu03nan,,R003007**2-R003006**2,nan,ois
"003006,003007",-0.41,0.08,Wa03From Bu03,,R003007**2-R003006**2,nan,ois
"003006,003007",-0.96,0.07,Sc96From Bu03,,R003007**2-R003006**2,nan,ois
"003006,003007",-0.29,0.21,Sa95From Bu03,,R003007**2-R003006**2,nan,ois
"003006,003007",-0.742,0.013,Ri94See Pu06,,R003007**2-R003006**2,nan,ois
"003006,003007",-0.738,0.013,"Ew04, Sá06Corrected by Pu06",,R003007**2-R003006**2,nan,ois
"003007,003008",-0.503,0.028,nanCorrected by Pu06,,R003008**2-R003007**2,nan,ois
"003007,003009",-0.938,0.026,nanCorrected by Pu06,,R003009**2-R003007**2,nan,ois
"003007,003011",0.157,0.081,nanCorrected by Pu06,,R003011**2-R003007**2,nan,ois
"003006,003007",-0.731,0.022,Nö11anan,,R003007**2-R003006**2,nan,ois
"003006,003008",-1.23,0.032,nannan,,R003008**2-R003006**2,nan,ois
"003006,003009",-1.663,0.032,nannan,,R003009**2-R003006**2,nan,ois
"003006,003011",-0.543,0.069,nannan,,R003011**2-R003006**2,nan,ois
"004007,004009",-0.66,0.05,Nö09R12 data ,,R004009**2-R004007**2,nan,ois
"004009,004010",-0.79,0.08,nanfrom tab.1. ,,R004010**2-R004009**2,nan,ois
"004009,004011",-0.28,0.05,nanof Nö09,,R004011**2-R004009**2,nan,ois
"010017,010020",-0.22,0.152,"Ge02, Ge08nan",,R010020**2-R010017**2,nan,ois
"010018,010020",0.207,0.127,nannan,,R010020**2-R010018**2,nan,ois
"010019,010020",-0.017,0.06,nannan,,R010020**2-R010019**2,nan,ois
"010020,010021",-0.217,0.038,nannan,,R010021**2-R010020**2,nan,ois
"010020,010022",-0.321,0.047,nannan,,R010022**2-R010020**2,nan,ois
"010020,010023",-0.573,0.112,nannan,,R010023**2-R010020**2,nan,ois
